Mapping,Source,Target,Agreement
A1,solar system,atom,86.4
A1,sun,nucleus,100.0
A1,planet,electron,95.5
A1,mass,charge,86.4
A1,attracts,attracts,90.9
A1,revolves,revolves,95.5
A1,gravity,electromagnetism,81.8
A2,water,heat,86.4
A2,flows,transfers,95.5
A2,pressure,temperature,86.4
A2,water tower,burner,72.7
A2,bucket,kettle,72.7
A2,filling,heating,95.5
A2,emptying,cooling,95.5
A2,hydrodynamics,thermodynamics,90.9
A3,waves,sounds,86.4
A3,shore,wall,77.3
A3,reflects,echoes,95.5
A3,water,air,95.5
A3,breakwater,insulation,81.8
A3,rough,loud,63.6
A3,calm,quiet,100.0
A4,combustion,respiration,72.7
A4,fire,animal,95.5
A4,fuel,food,90.9
A4,burning,breathing,72.7
A4,hot,living,59.1
A4,intense,vigorous,77.3
A4,oxygen,oxygen,77.3
A5,sound,light,86.4
A5,low,red,50.0
A5,high,violet,54.5
A5,echoes,reflects,100.0
A5,loud,bright,90.9
A5,quiet,dim,77.3
A6,projectile,planet,100.0
A6,trajectory,orbit,100.0
A6,earth,sun,100.0
A6,parabolic,elliptical,100.0
A6,air,space,100.0
A6,gravity,gravity,90.9
A6,attracts,attracts,90.9
A7,breeds,species,100.0
A7,selection,competition,59.1
A7,conformance,adaptation,59.1
A7,artificial,natural,77.3
A7,popularity,fitness,54.5
A7,breeding,mating,95.5
A7,domesticated,wild,77.3
A8,balls,molecules,90.9
A8,billiards,gas,72.7
A8,speed,temperature,81.8
A8,table,container,95.5
A8,bouncing,pressing,77.3
A8,moving,moving,86.4
A8,slow,cold,90.9
A8,fast,hot,100.0
A9,computer,mind,90.9
A9,processing,thinking,100.0
A9,erasing,forgetting,72.7
A9,write,memorize,54.5
A9,read,remember,81.8
A9,memory,memory,72.7
A9,outputs,muscles,90.9
A9,inputs,senses,90.9
A10,bug,mistake,100.0
A10,slot machines,bacteria,68.2
A10,reels,genes,72.7
A10,spinning,mutating,86.4
A10,winning,reproducing,90.9
A10,losing,dying,100.0
M1,war,argument,90.9
M1,soldier,debater,100.0
M1,destroy,refute,95.5
M1,fighting,arguing,95.5
M1,defeat,acceptance,95.5
M1,attacks,criticizes,95.5
M2,weapon,logic,95.5
M2,buyer,believer,100.0
M2,merchandise,belief,100.0
M2,buying,accepting,95.5
M2,selling,advocating,95.5
M2,returning,rejecting,95.5
M3,valuable,true,95
M4,weak,dubious,90.9
M4,crack,flaw,95.5
M4,obstructions,difficulties,90.9
M4,destination,goal,100.0
M4,route,plan,95.5
M4,traveller,person,95.5
M4,travelling,problem solving,86.4
M5,companion,partner,90.9
M5,arriving,succeeding,95.5
M5,money,time,100.0
M5,allocate,invest,95.5
M5,budget,schedule,100.0
M5,effective,efficient,95.5
M5,cheap,quick,90.9
M6,seeds,ideas,95.5
M6,planted,inspired,90.9
M6,fruitful,productive,100.0
M6,fruit,product,95.5
M6,grow,develop,100.0
M6,wither,fail,95.5
M6,blossom,succeed,100.0
M7,machine,mind,95.5
M7,working,thinking,100.0
M7,turned on,awake,95.5
M7,turned off,asleep,95.5
M7,broken,confused,90.9
M7,power,intelligence,95.5
M7,repair,therapy,90.9
M8,object,idea,95.5
M8,hold,understand,100.0
M8,weigh,analyze,95.5
M8,heavy,important,100.0
M8,light,trivial,95.5
M9,follow,understand,95.5
M9,leader,speaker,100.0
M9,path,argument,95.5
M9,follower,listener,100.0
M9,lost,misunderstood,95.5
M9,wanders,digresses,90.9
M9,twisted,complicated,95.5
M10,straight,simple,95.5
M10,seeing,understanding,100.0
M10,light,knowledge,95.5
M10,illuminating,explaining,100.0
M10,darkness,confusion,95.5
M10,view,interpretation,90.9
M10,hidden,secret,95.5
